Id,Term,Location Capacity,Name,Building Number,Room Number
005-0203,2224 ,16,005 Architecture & Environmental Design,005,0203
005-0204,2182 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2184 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2188 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2192 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2194 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2198 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2202 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2218 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2222 ,16,005 Architecture & Environmental Design,005,0204
005-0204,2224 ,16,005 Architecture & Environmental Design,005,0204
005-0205,2182 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2184 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2188 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2192 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2194 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2198 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2202 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2218 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2222 ,16,005 Architecture & Environmental Design,005,0205
005-0205,2224 ,16,005 Architecture & Environmental Design,005,0205
005-0206,2182 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2184 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2188 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2192 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2194 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2198 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2202 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2218 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2222 ,16,005 Architecture & Environmental Design,005,0206
005-0206,2224 ,16,005 Architecture & Environmental Design,005,0206
005-0207,2182 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2184 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2188 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2192 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2194 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2198 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2202 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2218 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2222 ,16,005 Architecture & Environmental Design,005,0207
005-0207,2224 ,16,005 Architecture & Environmental Design,005,0207
005-0224,2182 ,18,005 Architecture & Environmental Design,005,0224
005-0224,2184 ,18,005 Architecture & Environmental Design,005,0224
005-0224,2192 ,18,005 Architecture & Environmental Design,005,0224
005-0224,2194 ,18,005 Architecture & Environmental Design,005,0224
005-0224,2222 ,18,005 Architecture & Environmental Design,005,0224
005-0225,2182 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2184 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2188 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2192 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2194 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2196 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2198 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2202 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2218 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2222 ,48,005 Architecture & Environmental Design,005,0225
005-0225,2224 ,48,005 Architecture & Environmental Design,005,0225
005-0226,2182 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2184 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2188 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2192 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2194 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2198 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2202 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2218 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2222 ,36,005 Architecture & Environmental Design,005,0226
005-0226,2224 ,36,005 Architecture & Environmental Design,005,0226
005-0301,2182 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2184 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2188 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2192 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2194 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2198 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2202 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2218 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2222 ,16,005 Architecture & Environmental Design,005,0301
005-0301,2224 ,16,005 Architecture & Environmental Design,005,0301
005-0302,2182 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2184 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2188 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2192 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2194 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2198 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2202 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2218 ,16,005 Architecture & Environmental Design,005,0302
005-0302,2222 ,16,005 Architecture & Environmental Design,005,0302
